STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,005,630101,2855,+41.989379,-071.333870
25,005,630102,4201,+41.981331,-071.325711
25,005,630200,8204,+41.989388,-071.299509
25,005,630300,8597,+41.962257,-071.357238
25,005,630400,4855,+41.961303,-071.327235
25,005,631100,8093,+41.908193,-071.366463
25,005,631200,6841,+41.926584,-071.321361
25,005,631300,5183,+41.960063,-071.287302
25,005,631400,2674,+41.944315,-071.281720
25,005,631500,2797,+41.934724,-071.295830
25,005,631600,3955,+41.937166,-071.280687
25,005,631700,6471,+41.935429,-071.252213
25,005,631800,7579,+41.915636,-071.288654
25,005,632100,6543,+41.874019,-071.324542
25,005,632200,7179,+41.809720,-071.319449
25,005,633100,5490,+41.878608,-071.253607
25,005,633200,6118,+41.815250,-071.244388
25,005,640100,5358,+41.674412,-071.156268
25,005,640200,5954,+41.683571,-071.169535
25,005,640300,3693,+41.679160,-071.186064
25,005,640400,2682,+41.685759,-071.178569
25,005,640500,5165,+41.691934,-071.168508
25,005,640600,4450,+41.688409,-071.153934
25,005,640700,2900,+41.679133,-071.150931
25,005,640800,3813,+41.684140,-071.147955
25,005,640901,5071,+41.695817,-071.163241
25,005,641000,2419,+41.699533,-071.163072
25,005,641101,1712,+41.698224,-071.155725
25,005,641200,2803,+41.701367,-071.144636
25,005,641300,5326,+41.696368,-071.135952
25,005,641400,2586,+41.689047,-071.134857
25,005,641500,2401,+41.687350,-071.128340
25,005,641600,2323,+41.689794,-071.125692
25,005,641700,5096,+41.704497,-071.134453
25,005,641800,2059,+41.710526,-071.149278
25,005,641900,2275,+41.707371,-071.151979
25,005,642000,3274,+41.712416,-071.154265
25,005,642100,4144,+41.744724,-071.129454
25,005,642200,3881,+41.727424,-071.137157
25,005,642300,2195,+41.719758,-071.137443
25,005,642400,2760,+41.712454,-071.137005
25,005,642500,4517,+41.731685,-071.112137
25,005,644101,5828,+41.756809,-071.144984
25,005,644102,5057,+41.776059,-071.137470
25,005,644200,7280,+41.732500,-071.168673
25,005,645101,4863,+41.725948,-071.209617
25,005,645102,5385,+41.762249,-071.183233
25,005,645103,5617,+41.753968,-071.242568
25,005,646101,7356,+41.652689,-071.092421
25,005,646103,5604,+41.607432,-071.085753
25,005,646104,2572,+41.544099,-071.075885
25,005,650101,5753,+41.716872,-070.939188
25,005,650102,4879,+41.709218,-070.944518
25,005,650201,2916,+41.684300,-070.940611
25,005,650202,2142,+41.676121,-070.934207
25,005,650300,3304,+41.680309,-070.923642
25,005,650400,3773,+41.669951,-070.925921
25,005,650500,3141,+41.669035,-070.932348
25,005,650600,2759,+41.664127,-070.925742
25,005,650700,2583,+41.660001,-070.926563
25,005,650800,3651,+41.660210,-070.932504
25,005,650900,2867,+41.656845,-070.940784
25,005,651001,2865,+41.650119,-070.958962
25,005,651002,3833,+41.643368,-070.951082
25,005,651100,4117,+41.650446,-070.934809
25,005,651200,2068,+41.654964,-070.926151
25,005,651300,2227,+41.643648,-070.929633
25,005,651400,3215,+41.643853,-070.934062
25,005,651500,3115,+41.641005,-070.940504
25,005,651600,3862,+41.633883,-070.942474
25,005,651700,1983,+41.634647,-070.934057
25,005,651800,1745,+41.635437,-070.926719
25,005,651900,1942,+41.626944,-070.923926
25,005,652000,2676,+41.625622,-070.927569
25,005,652100,2815,+41.626736,-070.933430
25,005,652200,2836,+41.626738,-070.943988
25,005,652300,2870,+41.619276,-070.937124
25,005,652400,2664,+41.617971,-070.931258
25,005,652500,2589,+41.618163,-070.924886
25,005,652600,2843,+41.617636,-070.920429
25,005,652700,3762,+41.612893,-070.914245
25,005,652800,3277,+41.604536,-070.909513
25,005,653101,6664,+41.640317,-070.997468
25,005,653102,5381,+41.681361,-071.017801
25,005,653203,5005,+41.614895,-070.949629
25,005,653204,3214,+41.609717,-070.977468
25,005,653301,5057,+41.594945,-070.948023
25,005,653304,3205,+41.566751,-070.989603
25,005,654100,6916,+41.712945,-070.903717
25,005,654200,3387,+41.684373,-070.913732
25,005,655100,4225,+41.649647,-070.871281
25,005,655200,4415,+41.654467,-070.907533
25,005,655300,3317,+41.640430,-070.898996
25,005,655400,3916,+41.621904,-070.875376
25,005,985500,5506,+41.624139,-071.006024
25,005,985600,5205,+42.071113,-071.092539
25,005,990000,0,+41.519674,-070.938345
25,007,200100,3949,+41.452584,-070.610196
25,007,200200,4527,+41.444527,-070.578291
25,007,200300,4067,+41.391167,-070.542648
25,007,200400,3992,+41.394657,-070.684319
25,007,990000,0,+41.470384,-070.847473
25,009,201100,3410,+42.426156,-070.927530
25,009,202101,2063,+42.472504,-070.914462
25,009,202102,5836,+42.478762,-070.917153
25,009,202200,5888,+42.471338,-070.899172
25,009,203100,7071,+42.487888,-070.878715
25,009,203200,4557,+42.497425,-070.859661
25,009,203301,4010,+42.504997,-070.860242
25,009,203302,4170,+42.510305,-070.851891
25,009,204101,4669,+42.505774,-070.891170
25,009,204102,4935,+42.492822,-070.900058
25,009,204200,4797,+42.515836,-070.896122
25,009,204300,3904,+42.518269,-070.890003
25,009,204400,3301,+42.526812,-070.883167
25,009,204500,3132,+42.526832,-070.893576
25,009,204600,5154,+42.528469,-070.905504
25,009,204701,5782,+42.504224,-070.915447
25,009,204702,5666,+42.515856,-070.915392
25,009,205100,5352,+42.485230,-070.941800
25,009,205200,5319,+42.479436,-070.951354
25,009,205300,4490,+42.489824,-070.962817
25,009,205400,5048,+42.501668,-070.981185
25,009,205500,4606,+42.471289,-070.958731
25,009,205600,3881,+42.469551,-070.986033
25,009,205700,4650,+42.464540,-070.978288
25,009,205800,3312,+42.460084,-070.972246
25,009,205900,4350,+42.468229,-070.968243
